Nombre,Dirección,Teléfono,Calificación,Sitio Web,Tipo Negocio,Prioridad,Fecha Extracción,Ciudad
TotalEnergies Quartz Auto Services - Taller Auto Performance Toledo,"C. Río Jarama, 28, 45007 Toledo",672 65 36 76,4.8,https://services.totalenergies.es/talleres/totalenergies-quartz-auto-services,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Soliss Seguros Toledo,"C. Río Alberche, 48, 45007 Toledo",925 23 37 66,4.8,http://www.soliss.es/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Aseguravida,"C. de Mejico, 9, 45004 Toledo",919 61 84 54,4.8,http://aseguravida.com/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
HLA Centro Médico Toledo,"Av. de Irlanda, 21, Planta 0, 45005 Toledo",925 23 75 87,4.8,https://www.grupohla.com/hlacmtoledo,Clínicas,Normal,2026-01-19 13:23:09,Toledo
D·Lerma Centro de Bienestar Médico & Dental,"C. Duque de Lerma, 1, 45003 Toledo",925 25 80 42,4.8,https://dlerma.es/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica dental SEDI,"C. Río Guadarrama, 71 Local, 11, Polígono Residencial, 45007 Toledo",925 33 70 32,4.8,https://www.clinicadentalsedi.es/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Talleres Santi Fesavi,"C. Alonso Quijano, 5, 45007 Toledo",925 23 41 78,4.7,http://talleressantifesavi.es/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Bosch Car Service - Talleres J. López,"Pol. Ind. Benquerencia, C. Río Jarama, 74, 45007 Toledo",925 23 34 57,4.7,https://www.boschcarservice.com/es/es/pide-cita#/booking/classic/landing?customerId=24172873,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
"Reparaciones Valentín, C.B.","Av. Coronel Baeza, 15E, 45004 Toledo",925 25 45 80,4.7,https://www.reparacionesvalentin.com/,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Clínicas DH - Toledo | Medicina Estética & Depilación Láser,"C. Bolivia, 1, 45004 Toledo",925 62 19 29,4.7,http://www.clinicasdh.com/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Policlinica en Toledo • MMC CLINIC CENTER,"Av. de América, 7A, 45004 Toledo",649 74 64 24,4.7,https://mmcfisiocenter.es/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Talleres y neumáticos Bomba,"C. Duque de Ahumada, 9, 45005 Toledo",925 21 11 17,4.6,http://www.talleresbomba.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
TECNICOCHES TOLEDO,"Av. de Portugal, 24, 45005 Toledo",925 10 87 06,4.6,http://tecnicoches.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Soliss Seguros Toledo,"Rda. Buenavista, 39, a, 45005 Toledo",925 21 23 04,4.6,http://www.soliss.es/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Talleres Alfredo Alguacil,"Av. Castilla- La Mancha, 6, 45003 Toledo",925 22 00 34,4.5,http://www.talleresalfredoalguacil.es/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Talleres Fe-cars,"C. Río Jarama, 108, 45007 Toledo",925 24 50 28,4.5,http://www.talleresfe-cars.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
"Mi Mecánico, S.L.","C. Río Jarama, 39, 45007 Toledo",925 23 37 59,4.4,https://www.facebook.com/profile.php?id=100009045743957&fref=ts,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
"Talleres Díaz López, SL (Polígono de Toledo)","C. Río Jarama, 14, 45007 Toledo",925 23 33 82,4.4,http://www.talleresdiazlopez.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Bosch Car Service - Gallardo y Carvajal,"C. San Pedro el Verde, 35, Bajo, 45004 Toledo",925 22 55 91,4.4,https://www.gallardoycarvajal.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Talleres RC Automoción,"Cruce, Calle Río Valdelospozos, C. Río Marches, 2, 45007 Toledo",925 30 74 13,4.4,http://rcautomocion2018.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Autoreparaciones San Pedro s.l,"C. San Pedro el Verde, 17, 45004 Toledo",925 21 07 13,4.4,http://www.tsanpedro.es/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Reale Seguros,"Pl. de Holanda, 1, 45005 Toledo",925 25 04 18,4.4,https://www.reale.es/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Electrotodo Toledo Reparación,"Av. de América, 1, 45004 Toledo",825 71 13 27,4.4,http://www.electrotodo.es/,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Electrónica José Luis Imagen Y Sonido,"Av. Coronel Baeza, 5, LOCAL, 45004 Toledo",925 25 45 81,4.4,http://www.unlockstation.es/,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Talleres Pedro Madroño Toledo,"C. Río Jarama, 46, 45007 Toledo",925 23 20 34,4.3,https://tallerespedromadrono.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Gsf Broker - Correduría De Seguros,"Av. de Madrid, 14, 45003 Toledo",925 23 48 33,4.3,https://www.gsfbroker.com/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Vorwerk Toledo. Thermomix y Kobold. Delegación y Servicio Técnico Oficial..,"Av. de Irlanda, 15, 45005 Toledo",925 25 30 73,4.3,https://www.vorwerk.com/es/es/c/home,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Centro Médico Quirónsalud Toledo,"Bajada de Castilla-La Mancha, 3, 45003 Toledo",925 26 61 00,4.3,https://www.quironsalud.es/toledo/es/centro/centro-medico-quironsalud-toledo/centro-medico-quironsalud-toledo,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica Meddicus Medical & Dental,"Av. de Barber, 1, 45004 Toledo",925 25 19 52,4.3,https://meddicus.com/?utm_source=GMB&utm_medium=organic&utm_campaign=website,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica Dental del Doctor Toledo,"C. de Mariano Lagasca, 14, 50006 Zaragoza",976 21 21 21,4.2,https://doctortoledo.es/clinica-dental-lagasca-zaragoza/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Soliss Seguros Toledo,"Uruguay, 1, 45004 Toledo",925 25 36 96,4.1,https://www.soliss.es/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Reale Seguros,"Av. de Europa, 20, 45003 Toledo",925 05 14 11,4.0,https://www.reale.es/agencia/toledo/seguros-toledo,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
